,City,lat,lng,max temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,saint-philippe,-21.3585,55.7679,21.77000000000004,76.0,88.0,7.75,RE,1623088773.0
143,komsomolskiy,40.4272,71.7189,31.400000000000034,23.0,85.0,9.26,UZ,1623088773.0
145,elat,29.5581,34.9482,32.910000000000025,27.0,0.0,6.69,IL,1623088480.0
146,sioux lookout,50.1001,-91.917,22.210000000000036,43.0,20.0,4.63,CA,1623088773.0
147,lyambir,54.2817,45.1249,15.210000000000036,91.0,100.0,2.74,RU,1623088774.0
148,dharchula,29.85,80.5333,20.890000000000043,77.0,91.0,1.86,IN,1623088774.0
149,bluff,-46.6,168.3333,6.850000000000023,85.0,3.0,2.56,NZ,1623088774.0
150,norilsk,69.3535,88.2027,-1.6999999999999886,92.0,99.0,1.87,RU,1623088775.0
151,hirara,24.8,125.2833,27.430000000000007,76.0,100.0,5.84,JP,1623088775.0
152,yangambi,0.8102,24.4336,23.400000000000034,87.0,71.0,0.94,CD,1623088751.0
153,sao filipe,14.8961,-24.4956,24.910000000000025,65.0,5.0,6.09,CV,1623088632.0
154,kaduy,59.2,37.15,17.02000000000004,94.0,84.0,1.23,RU,1623088776.0
155,gravelbourg,49.8834,-106.5512,21.150000000000034,37.0,75.0,2.65,CA,1623088776.0
156,mbaiki,3.8678,17.9892,23.870000000000005,78.0,90.0,0.1,CF,1623088776.0
157,kontagora,10.3999,5.4695,27.620000000000005,57.0,34.0,2.37,NG,1623088777.0
158,biak,-0.9131,122.8766,24.189999999999998,83.0,17.0,2.31,ID,1623088777.0
159,slanic,45.25,25.9333,16.480000000000018,82.0,15.0,2.05,RO,1623088777.0
160,road town,18.4167,-64.6167,29.05000000000001,89.0,40.0,6.17,VG,1623088737.0
161,torbay,47.6666,-52.7314,16.600000000000023,65.0,75.0,5.14,CA,1623088778.0
162,felanitx,39.4696,3.1483,24.970000000000027,59.0,0.0,3.51,ES,1623088778.0
163,terrace,54.5163,-128.6035,15.240000000000009,76.0,75.0,1.03,CA,1623088778.0
164,ozernovskiy,51.5,156.5167,6.060000000000002,94.0,92.0,1.12,RU,1623088779.0
165,porangatu,-13.4408,-49.1486,33.32000000000005,25.0,55.0,2.12,BR,1623088779.0
166,kijang,35.2442,129.2139,19.850000000000023,68.0,99.0,2.84,KR,1623088780.0
